,id,instruments,genres,place,coordinates,is-danced,youtube-id,start-ts,end-ts,region,sub-region,main_genre,secondary_genre,sub-genre,Lyra,Cimbalom,Whistling,Floghera,Trumpet,Klarino,Flute,Laouto,Guitar,Trombone,Bass,Piano,Cello,Tambouras,Baglamas,Zournas,Kanonaki,Santouri,Violin,Voice,Accordion,Oud,Mandolin,Ney,Tsampouna,Tuba,Bassoon,Percussion,Bouzouki,Tsumbus
0,abelokoutsoura,"['Voice', 'Violin', 'Santouri', 'Laouto']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Icaria']",37.600502446388|26.159290600739173,no,Zy8tjrTf4sg,2819,2986,Aegean-sea,Icaria,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
1,adramytiano-zeimbekiko-2,"['Violin', 'Trumpet', 'Trombone', 'Santouri', 'Percussion', 'Klarino']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Lesbos']",39.23867882632123|26.256429816602346,yes,mp1pK6b1Oho,2551,2688,Aegean-sea,Lesbos,Traditional,Nisiotiko,Aegean,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
2,afino-geia-sti-geitonia,"['Voice', 'Violin', 'Tambouras', 'Santouri', 'Percussion', 'Oud', 'Laouto', 'Klarino']","['Traditional', 'Macedonian']",['Macedonia'],40.910884328073564|23.22153108200181,no,6ZDyC-wpRXM,1258,1488,Macedonia,Macedonia,Traditional,Macedonian,Macedonian,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
3,afta-ta-oraia-matia-sou,"['Voice', 'Violin', 'Guitar', 'Accordion']","['Traditional', 'Nisiotiko', 'Ionian']","['Ionian-sea', 'Corfu']",39.65199074735927|19.832436424805493,yes,t60GoECE0p8,4840,4971,Ionian-sea,Corfu,Traditional,Nisiotiko,Ionian,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
4,aftalikos-2,"['Violin', 'Percussion', 'Oud', 'Klarino', 'Kanonaki']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Chios']",38.42426026626016|26.058525334235867,yes,J-PqcxTXtp4,4126,4340,Aegean-sea,Chios,Traditional,Nisiotiko,Aegean,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no
5,aganta-gialessa-tsimarista-disticha,"['Voice', 'Violin', 'Laouto']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Kalymnos']",36.987573229226555|26.988755984703815,no,-Lae0QmE15A,3701,3822,Aegean-sea,Kalymnos,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
6,agapiso,"['Voice', 'Percussion', 'Guitar', 'Accordion']","['Traditional', 'Southern-Italian']",['Southern-Italy'],37.4956965444923|14.488217381442661,yes,l2gUntzxeVc,931,1096,Southern-Italy,Southern-Italy,Traditional,Southern-Italian,Southern-Italian,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no
7,agapo-mia-pantremeni,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Oud', 'Kanonaki', 'Guitar']","['Traditional', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,yes,5fJXkyrSxo4,6327,6535,Asia-minor,Asia-minor,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
8,agia-mou-panagia-mou,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Oud', 'Laouto', 'Guitar']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Lesbos']",39.23867882632123|26.256429816602346,yes,mp1pK6b1Oho,6330,6622,Aegean-sea,Lesbos,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
9,agia-paraskevi-mou,"['Voice', 'Violin', 'Santouri', 'Laouto']","['Traditional', 'Nisiotiko', 'Aegean']",['Aegean-sea'],38.5853888564289|25.564763646019834,yes,jpktBKou-_E,5070,5265,Aegean-sea,Aegean-sea,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
