id,youtube-id,region
abelokoutsoura,Zy8tjrTf4sg,Aegean-sea
adramytiano-zeimbekiko-2,mp1pK6b1Oho,Aegean-sea
aftalikos-2,J-PqcxTXtp4,Aegean-sea
aganta-gialessa-tsimarista-disticha,-Lae0QmE15A,Aegean-sea
agia-mou-panagia-mou,mp1pK6b1Oho,Aegean-sea
agia-paraskevi-mou,jpktBKou-_E,Aegean-sea
afino-geia-sti-geitonia,6ZDyC-wpRXM,Macedonia
ainte-min-to-vazeis-sto-gyali,gMz1OBS9FlQ,Macedonia
anoixan-ta-dentra-oula,5z-ZGft2zCI,Macedonia
apochairetismos,lBs4PyiRsIY,Mainland-Greece
apopse-eisai-gia-fili,zkoqg3VRVLA,Mainland-Greece
apopse-kaneis-bam,pxhw04LZhiY,Mainland-Greece
apopse-sti-mikri-ti-geitonia-sou,vd8WTrc12Uo,Mainland-Greece
apopse-tha-rtho-na-sta-psallo,YEPmaDr_UMA,Mainland-Greece
bairatse,dIqJ-N3_Tso,Macedonia
berati,gMz1OBS9FlQ,Macedonia
berati-2,dIqJ-N3_Tso,Macedonia
